name	batch01_QC01	batch01_QC02	batch01_QC03	batch01_C05	batch01_S07	batch01_C10	batch01_QC04	batch01_S01	batch01_C03	batch01_S05	batch01_C07	batch01_S06	batch01_QC05	batch01_C08	batch01_C06	batch01_S02	batch01_S09	batch01_QC06	batch01_S04	batch01_C04	batch01_S10	batch01_C09	batch01_QC07	batch02_C05	batch02_S03	batch02_S07	batch02_C01	batch02_C10	batch02_QC08	batch02_S01	batch02_C03	batch02_S05	batch02_C07	batch02_S06	batch02_QC09	batch02_C08	batch02_C06	batch02_S02	batch02_S09	batch02_C02	batch02_QC10	batch02_S04	batch02_S08	batch02_C04	batch02_S10	batch02_C09	batch02_QC11	batch03_C05	batch03_S03	batch03_S07	batch03_C01	batch03_C10	batch03_QC12	batch03_S01	batch03_C03	batch03_S05	batch03_C07	batch03_S06	batch03_QC13	batch03_C08	batch03_C06	batch03_S02	batch03_S09	batch03_C02	batch03_QC14	batch03_S04	batch03_S08	batch03_C04	batch03_S10	batch03_C09	batch03_QC15	batch04_C05	batch04_S03	batch04_S07	batch04_C01	batch04_QC16	batch04_S01	batch04_S05	batch04_C07	batch04_S06	batch04_QC17	batch04_C08	batch04_C06	batch04_S02	batch04_S09	batch04_C02	batch04_QC18	batch04_S08	batch04_C04	batch04_S10	batch04_QC19	batch05_QC20	batch05_S03	batch05_S07	batch05_C01	batch05_C10	batch05_QC21	batch05_S01	batch05_C03	batch05_C07	batch05_QC22	batch05_C06	batch05_C02	batch05_QC23	batch05_S04	batch05_S08	batch05_C04	batch05_QC24	batch06_QC25	batch06_S03	batch06_C10	batch06_QC26	batch06_S01	batch06_C03	batch06_S05	batch06_C07	batch06_S06	batch06_QC27	batch06_C08	batch06_C06	batch06_S02	batch06_C02	batch06_QC28	batch06_S04	batch06_S08	batch06_C04	batch06_C09	batch06_QC29	batch07_QC30	batch07_C05	batch07_S03	batch07_S07	batch07_C01	batch07_C10	batch07_QC31	batch07_C03	batch07_S05	batch07_C07	batch07_S06	batch07_QC32	batch07_C08	batch07_S02	batch07_S09	batch07_C02	batch07_QC33	batch07_S04	batch07_S08	batch07_S10	batch07_C09	batch07_QC34	batch08_C05	batch08_S03	batch08_S07	batch08_C01	batch08_C10	batch08_QC36	batch08_S01	batch08_C03	batch08_S05	batch08_C07	batch08_S06	batch08_QC37	batch08_C08	batch08_S02	batch08_S09	batch08_QC38	batch08_S04	batch08_S08	batch08_C04	batch08_S10	batch08_C09	batch08_QC39
428.03716	22190	22580	22054	19826	18834	22538	19492	17499	24771	21111	28631	16738	21874	23052	26307	21417	15663	21660	20396	22588	16448	21246	19133	19842	21334	24515	24983	23884	21997	17379	20352	15344	26387	9971.3	19310	21221	27080	19387	25649	26851	22302	20587	21158	22734	20246	18867	20733	19988	19950	20708	25042	26848	19384	18909	28721	16989	26253	18655	19778	29861	27231	23534	17686	32475	19933	21738	15952	27034	15620	18843	19010	14608	19692	17571	23111	20691	15391	17647	34761	7036.5	18140	21990	26129	21524	19123	25925	21582	15522	15020	18325	19667	25154	22918	24423	25106	23815	29480	15366	11725	48306	24601	26438	29028	24994	23715	26667	18622	25172	23037	23561	20205	25095	22055	26119	25023	30819	21273	29309	26926	16096	15157	17419	25550	26881	3646.2	21215	21031	28172	29960	46883	29235	31519	33009	37573	31733	39639	21263	24069	22551	30749	20594	21655	22738	42063	33428	28179	24553	19118	28525	34529	19083	25850	34503	35190	28597	30001	25946	32861	22292	33202	20941	34644	32440	28677	31115	27718	27813	23527	26333	21030	27253	30259
207.01423	595860	574650	628590	495010	712150	1111200	606020	430210	587190	483810	679850	360410	588560	551310	398090	666240	420070	563680	735680	804260	555450	559660	716670	560600	491510	566740	947240	1079600	686600	546860	653110	474210	767750	381030	688980	528850	456430	702990	364080	420020	676650	824630	482270	912090	526620	549850	588730	521510	570440	687040	1052300	1014400	619390	475510	652840	427360	692810	505780	650470	672240	460650	673790	363560	449600	737850	751280	571590	990720	489000	526220	625620	584380	512540	708280	947000	721750	530390	445160	724360	365950	656310	503600	459490	648680	443760	511890	620940	539750	980760	455960	616180	575760	531440	614040	1045000	1136100	575980	487620	670550	651770	606110	414700	513290	579330	709790	496280	760010	575690	614150	548950	1225200	631900	437800	684740	481320	710510	421550	542580	649670	542160	821620	551670	639390	736280	592290	819500	631140	559340	607210	435510	481690	603830	716910	820320	526510	654640	436530	790190	402830	620240	569890	567570	350850	440810	542430	669570	393870	447770	459720	627300	483730	421200	598000	999900	802730	582400	426620	617590	427890	623400	378350	533090	530180	558480	339120	584930	608690	417260	898330	412010	544760	555980
210.06077	12934	9819.3	13343	17150	0	0	6440	8356.3	8776.7	11935	11147	4920.7	7318	11856	10854	11827	9678.6	0	7714.7	8687.9	7479.5	8546.9	5556	17213	11551	9570.6	0	7886.8	11168	9738.7	6567.4	11291	9847.7	10696	8057.4	8680.4	13018	9809	12406	11183	10427	7484.2	9331.4	5646.8	8740.5	9978.4	4544.5	16221	11875	11217	5503.7	10215	9981	0	8829.6	10407	10269	6103.6	10636	14493	10088	9154	9145.5	11906	8187.8	7627.6	10318	3914.2	9300.4	6089.7	10031	19376	10272	10143	5385.9	10242	10112	6210.8	10837	8782.3	9886.9	13116	10659	11382	10699	6075.4	7431.4	8918.5	5494.5	11101	9392.5	9574.7	8180.2	7194.1	6180.3	6569.4	11382	9794	9403.1	8540.4	9987.2	10835	6400.7	0	14143	9887.1	4216.7	9889.1	12420	9687.3	10110	8212.3	6774	0	5290.7	7158.2	7983.1	6324.2	7871.7	5540.8	10445	4819.4	8767.6	0	5123.5	9251.5	8726.1	6790	10713	22450	8060.5	0	0	0	0	7121.6	12494	6101.2	7893.8	7470.9	0	9128.1	8544.9	0	0	0	8629.1	8899.6	0	8137.3	16302	12372	7409.9	0	0	0	0	10626	13741	0	0	0	6049.6	8935.8	7880.3	0	7739.8	5708.5	0	0	0	9258.5
397.06669	23796	21348	20614	12268	22411	20334	23064	27004	23688	24014	9521.7	34406	24950	28075	15969	21728	44806	23536	25934	25784	23363	9216.4	20588	10572	32491	28360	20739	21699	25726	30642	19976	20816	6650.3	28590	43084	25530	20541	24270	42280	19717	23144	24797	39966	31945	33646	20060	23014	11449	28692	29380	16009	22025	29179	24882	23515	27134	18920	39472	26516	31329	19681	27091	37686	30105	20770	27415	29983	20119	28914	15525	25693	12578	24351	34991	20238	26787	11246	20869	11140	22723	26399	43456	17049	29901	35079	23373	26391	32383	27687	22494	30082	22175	24655	37735	17442	27915	24467	27311	19003	16354	24079	9504.3	22685	22342	37589	22466	26762	21666	18960	47053	24700	25777	19503	15260	22445	0	34554	20739	17717	16955	20663	31699	22097	24024	21529	18360	15406	20816	20738	11649	17063	24225	11257	46230	18212	21665	21955	7671.5	27109	22495	31206	24044	39495	16960	14916	16107	16151	29371	9159.9	16696	9273.9	30170	25062	15796	7851.9	19333	20014	20013	22439	5804.4	21801	19329	16480	13891	26676	20284	18802	24328	18147	22937	9244.9	20832
315.03262	45235	55901	60073	77955	84668	69725	68335	81665	21086	101210	27008	56135	62448	57356	51106	70990	71282	68895	68948	20019	98710	47326	61319	65292	90088	67719	0	48527	63263	80029	17933	89962	17979	65994	52750	45628	44745	63914	42419	20702	59400	64856	79533	18219	72829	45635	55522	63618	71589	73023	0	48519	49833	68597	24344	82750	30692	72067	58196	40429	45647	59875	69002	36082	54215	53696	71635	19640	44731	39347	63229	73042	74372	68462	0	51444	75445	68240	36074	64174	49928	60377	51839	70477	55396	33970	43944	64071	22189	60567	51126	46989	53791	79873	12795	42743	43012	61959	22588	32296	47606	44901	24669	48245	49558	64128	14014	49222	48434	65904	43706	60369	88293	27616	103250	28205	72430	56359	57352	42383	49121	29338	43848	49967	53928	25976	54677	63401	66491	110530	104150	79605	11725	52201	77769	27482	88928	31788	64415	63540	39676	84195	84677	39538	67186	71626	88982	88752	52060	67263	77576	94802	84021	16318	62031	65208	86630	25766	93228	32970	50639	57725	49450	83117	71564	73227	63215	95961	23162	69082	60001	69709
174.08419	30431	26484	28452	40342	21972	18008	28857	41207	29558	26601	26309	32373	29883	22393	27229	24241	28006	28952	29005	21197	27434	20907	28910	40394	27410	28375	30738	14623	28853	35839	29517	27660	29271	35083	30014	21442	29650	21420	33000	24417	22446	27778	20571	18101	22658	27029	26842	35511	25293	27812	28057	17755	28443	37455	29064	24374	25152	30957	26411	25189	26531	24876	26386	22289	25912	25418	18291	23198	23578	20127	27644	36242	26660	21727	29568	25830	37922	28319	26330	30575	30203	20859	24019	23239	24741	21479	22724	20954	23172	30143	24989	23530	28272	25437	29003	17214	29979	41214	26475	31501	28044	29367	19874	24441	28267	22215	19957	26362	28421	27582	16335	23109	40628	32082	30318	27832	31742	24977	19669	25722	22676	18519	23092	31813	23820	19981	25638	23939	59637	79748	62822	49055	68371	40684	57110	61733	50558	53639	72690	58291	41508	49649	61626	50666	62899	58257	44608	61552	47651	56499	74287	63890	52495	66206	36673	64936	90603	63227	49079	49947	64828	56274	45125	49544	64492	57259	61482	41786	44341	59174	50027	50961
438.14243	27145	24312	24474	11152	28743	20689	21387	18090	19778	20612	9877	13525	24982	7304.3	11752	20269	20018	24376	27844	24426	20513	11497	24722	10176	23830	28544	19558	17921	26469	19467	20083	19957	18119	16446	22348	12028	13539	23534	23684	13037	25962	26587	19418	21162	19651	11172	23394	9277.2	20907	24060	16749	21198	26231	19466	20881	18617	10915	13498	20378	12729	13587	20145	18864	13756	23794	23603	18815	21815	15979	12410	24167	10325	22125	25333	15090	25579	19978	18705	8234	16204	23280	12486	9820.9	20800	21562	14552	23575	19490	22059	18839	23705	17479	19062	26433	16607	18848	18651	20685	21396	18690	19622	9525.1	10935	18138	25591	18733	20071	18224	18484	20439	21626	19884	15261	19404	19651	13292	17375	16775	11330	9474.7	19364	11194	18317	27951	22485	20457	6581.6	17106	28840	11126	29027	35628	24566	27578	28118	27987	25022	16944	18557	27370	15348	26850	25380	16966	26362	32427	27216	24433	14244	28423	12855	24547	35131	29345	24088	24976	22249	24425	22714	20144	18096	30151	18378	25990	27963	25468	35447	25478	26937	25087	14942	24781
161.0295	59132	63083	49694	62326	52451	69292	52034	46269	56325	79116	85885	48842	59009	80822	72727	53955	41909	54162	47730	34504	53111	88089	63186	61705	58114	29144	47190	63587	59794	53223	63674	49877	49750	42746	61861	56743	65837	48505	23828	48473	52900	47000	44106	38122	55937	77321	51575	64962	55363	41488	45739	58283	43003	48941	50317	50383	71952	51480	44359	58399	69007	44938	37117	57809	54143	38494	48548	52047	50152	80873	51317	70033	41139	48620	51212	61581	48166	37751	76779	37110	48332	69213	70914	42944	36879	53419	54884	44034	48208	40468	62458	43598	58042	48815	50205	57865	46749	33834	60527	90535	40802	64639	41445	45772	43248	46348	37926	46917	46475	50269	43514	62365	61931	77215	62775	65270	51624	50390	70609	49646	33079	49141	45395	34717	17454	64397	87974	49926	44700	72984	44643	38409	34728	52043	38861	48533	42871	58858	34835	48263	54006	41416	24057	41597	42730	35447	34809	36206	64737	46052	61442	41683	37444	40530	39708	42764	40425	46101	39246	59679	36040	42588	45754	38375	29355	44166	29403	37847	41996	39125	78167	44261
173.98804	7677.3	6408.5	9308.4	10560	13705	7640.7	10211	16430	17284	19125	12271	14163	7614.8	11880	13472	18138	11907	7126.3	13868	16481	18952	0	10313	8776.5	17257	9852.8	9774.6	4996.7	10035	15636	19044	15007	11903	12432	10739	11940	17269	17485	9471.3	16608	7387.5	14378	8080.4	13888	17434	0	9471.7	8711	16542	13217	12720	7441.8	9197	16610	15904	13578	12504	16271	9164.2	11762	18833	14281	12589	18771	12551	13633	6097.5	16550	16068	0	12823	11047	16631	15828	13120	9681.1	16873	12094	15965	13011	10334	10183	15464	14978	14246	18033	11352	8259.4	17779	13932	10886	10765	16881	14948	12015	7055.2	7844.3	13488	15392	14769	8601	15244	11919	8832.2	14601	7322.6	14013	7608.5	10590	16035	0	9515.8	13198	18297	17127	13780	15091	10413	11519	15568	12421	18745	10346	14591	5682.6	16397	0	10696	8804.4	12770	19666	13336	14967	0	11925	19453	18496	15930	15790	11125	8745.8	15662	9463	22209	7725.6	15062	9996.8	16012	0	13680	8136.2	16262	14248	14926	0	8470.9	17943	19623	16804	13641	14737	9892.1	9358.8	18258	12218	10434	14451	11101	17970	19994	0	13696
133.07219	3553	4165.4	4174.3	8689.5	4233.8	3401.7	3259.6	5928.9	4111	6104.6	6646.2	8304.7	5789.9	5376.6	4076.2	7824.3	6297.1	3438.4	7734.7	7277.5	8044.4	6456.9	3041.8	8198.6	7292.5	7791.8	6447.8	7209.3	5368.2	7716.5	5434.5	8052.5	5352.7	5314.2	3775.6	7916.9	4459.4	8236.5	8232.4	7135.4	6247.4	6036.4	8056.8	6899.1	6840.1	7006.7	5117.9	8391	6744.9	7818.8	3456.1	6691.6	5728.8	6280.8	6532.4	6758.4	4575.1	5846.6	5788.3	5753	5566.9	5238.6	8791.4	7319.2	3566.5	5688.3	7770.8	8031.3	7491.4	7043.6	6277.9	8285.7	7648.8	4816.7	7357.3	5747.6	5987.9	7922.6	6601.9	5749	6014.1	6315.2	5476.8	8127.9	4053.6	7192.7	6653	8238.6	6910.2	8565.7	7178	6823.3	6987.6	6949.4	5879.6	4742.6	6030.6	8343	7148.3	5105.6	7466.1	7441.8	5999.6	7596	4381.4	5699	7633.8	6631.2	5473.2	3809.9	4840.2	4409.8	7382.9	0	7329	7141.7	5893.5	9394.3	6228.1	6557.8	7778.6	5412.3	6884.9	9644.7	6104.5	4790.2	0	5163.3	0	3729.1	5040.7	0	3012.5	0	3931.8	0	3186.1	0	0	0	0	4895.1	2973.1	0	0	3458.7	3418	0	3375	4931.7	3458	0	3578.1	0	0	0	0	0	0	0	0	0	0	5048.3	3168.2	4522.6	5177.3	0	3383.3	5467.7	0	5519.8
